example_id,brand,customer_query,llm_predicted_intent,llm_confidence,llm_reasoning,rule_escalate,sentiment_score
amazonhelp_gold_0017,amazonhelp,@AmazonHelp Relevant issues is not listed in your issue category,general_feedback_complaint,0.95,"The user states that relevant issues are not listed in the issue category, indicating a general complaint about the support system’s categorization. This aligns with the general feedback/complaint intent.",True,0.0
amazonhelp_gold_0018,amazonhelp,"@115850 @AmazonHelp As per Great India Sale on 9th August to 12th August 2017, i should get 15% cashback of ₹750.60 for order value ₹5004 .I made payment using SBI Credit card through Amazon mobile app.But i had received only 10% cashback of ₹500.40 on 11th Nov 2017.",refund_return_cancellation,0.95,"The customer is complaining about not receiving the expected cashback amount from a promotional offer, which is effectively a refund/credit issue. This falls under the refund/return/cancellation category as it involves a monetary discrepancy that needs resolution.",False,0.8689
amazonhelp_gold_0019,amazonhelp,@AmazonHelp ...there about this and explain my side.,general_feedback_complaint,0.8,"The user’s message is vague but indicates a desire to explain their side, suggesting a general grievance or complaint rather than a specific issue about orders, returns, billing, account security, devices, or third‑party sellers.",True,0.0
amazonhelp_gold_0020,amazonhelp,@AmazonHelp Give a timeline else will escalate at highest level. It has been 21 days back& forth harassment. Multiple emails. No energy & patience now,general_feedback_complaint,0.95,"The customer is expressing frustration over a prolonged unresolved issue, threatening escalation, and is not requesting a specific service action such as tracking, refund, or account help. This fits the general grievance category.",True,-0.6501
amazonhelp_gold_0021,amazonhelp,@115851 I think u should seriously stop promoting TCL in India. Also Amazon has to work on their vendors Warranty policy,general_feedback_complaint,0.95,"The user expresses dissatisfaction with Amazon’s promotion of TCL and requests changes to vendor warranty policy, which is a general complaint about service and policy, fitting the general_feedback_complaint intent.",True,0.0772
amazonhelp_gold_0022,amazonhelp,@AmazonHelp That page doesn't have those items listed.,seller_product_inquiry,0.95,"The user states that a page does not list the items, indicating a concern about product availability or listing details, which aligns with the seller_product_inquiry intent.",False,0.0
amazonhelp_gold_0023,amazonhelp,@AmazonHelp as per u offer i should get exchange offer of 4397 rs but it is showing 2397 because u are giving extra 2000 of on exchange on moto g5s plus.,refund_return_cancellation,0.95,"The customer is discussing an exchange offer discrepancy, indicating a request related to returning or exchanging an item and the associated refund or credit amount.",False,0.4767
amazonhelp_gold_0024,amazonhelp,@AmazonHelp what does it take to get an answer on #sellercentral Our key product line has been down and your customers missed the huge sale! Have you abandoned #smallbusiness all together on @115821 ? Case ID [ORDER_ID],seller_product_inquiry,0.95,"The customer references ""#sellercentral"" and complains that their key product line has been down, causing missed sales for customers. This directly relates to third‑party seller issues such as product availability and stock concerns, which falls under the seller_product_inquiry intent.",True,-0.4926
amazonhelp_gold_0025,amazonhelp,850... and yet no response from Amzone. Big round of applause for AMAZONE.@121284 @45204 https://t.co/GXxZl2JvNc,general_feedback_complaint,0.95,"The customer expresses frustration about not receiving a response from Amazon, which falls under a general service complaint rather than a specific issue like order tracking, returns, billing, or technical support.",True,0.1531
amazonhelp_gold_0026,amazonhelp,@AmazonHelp I have filled the form with the details. I had faced similar issue earlier once too. It seems these kind of issues are happening repeatedly now. Please do something about it. It definitely creates a wrong impression for Amazon. Consider this as an escalation.,general_feedback_complaint,0.98,"The customer is expressing frustration about repeated issues, wants escalation, and is giving general feedback about Amazon’s service, which aligns with the general grievance category.",True,0.6808
amazonhelp_gold_0027,amazonhelp,@AmazonHelp okay thanks for your help,general_feedback_complaint,0.95,"The user expresses gratitude and thanks, which falls under general feedback or praise. No other intent categories apply.",True,0.7579
amazonhelp_gold_0028,amazonhelp,@AmazonHelp Training to cancel this but no option so i sent email to that Contact Us option https://t.co/y22a3VEPdR,refund_return_cancellation,0.98,The customer explicitly states they want to cancel an order and have emailed the Contact Us option because no cancellation option was available. This matches the cancellation aspect of the refund/return/cancellation intent.,True,-0.5106
amazonhelp_gold_0029,amazonhelp,"@AmazonHelp 21 hours since your team is ""actively"" working to process one order. I need it delivered today.",order_tracking_delivery,0.95,"The customer is complaining about a delay in order processing and explicitly requests delivery today, indicating a concern about the status and timing of their shipment.",False,0.3182
amazonhelp_gold_0030,amazonhelp,@AmazonHelp Except I’m in South Africa at the moment and this friend of mine was going to bring the package to me since you don’t deliver to South Africa?,order_tracking_delivery,0.92,"The customer is asking about the possibility of receiving a package in South Africa, which relates to delivery availability and location restrictions—an aspect of order delivery. This falls under the order tracking and delivery intent.",False,0.5789
amazonhelp_gold_0031,amazonhelp,@AmazonHelp that page doesn't help me because i don't have a printer...i need to speak to someone on phone. thank you!,general_feedback_complaint,0.8,"The customer explicitly requests to speak to someone on the phone, indicating a need for direct support or escalation, which aligns with the general feedback/complaint category that covers requests to speak with a supervisor or higher-level support.",True,0.1366
amazonhelp_gold_0032,amazonhelp,"@AmazonHelp I tried all the usual stuff, That doesn’t help. You give examples of phrases to use to trigger routines but when I use the examples Alexa tells me she can’t execute this.",digital_services_devices,0.97,"The user reports a problem with Alexa routines not executing, which is a technical issue related to an Alexa/Echo device. This falls under the digital_services_devices intent category.",False,0.2144
amazonhelp_gold_0033,amazonhelp,@AmazonHelp It was listed as sold by Amazon LLC. Both the models we're sold by Amazon. It causes serious inconvenience when you get it wrong the second time too. I need an answer for the same.,seller_product_inquiry,0.95,"The customer references the product being listed as sold by Amazon LLC and expresses frustration about incorrect seller information. This falls under inquiries about third‑party sellers, product authenticity, and seller details.",True,-0.5423
amazonhelp_gold_0034,amazonhelp,@115821 y’all need to fire@amzlus. Not reliable. #sadbirthdayboy if his present isn’t here in time 😡,order_tracking_delivery,0.95,"The customer is concerned that a gift (present) may not arrive on time, indicating a delivery delay or tracking issue. This falls under order tracking and delivery status inquiries.",False,0.0
amazonhelp_gold_0035,amazonhelp,"Hey @AmazonHelp! I need to file a claim on a package. It never showed up, but says delivered. Please and thank you for the assistance!",order_tracking_delivery,0.98,"The customer is reporting a missing package that is marked as delivered and wants to file a claim. This is a delivery status issue, fitting the order tracking and delivery intent.",False,0.7772
amazonhelp_gold_0036,amazonhelp,@Amazonhelp recently ordered a $16.02 poster frame and it arrived broken to pieces. I had to pay to send it back for replacement - cost me $30. Total price will be $56.00 for a $16.00 poster. Not happy. Should've clicked refund instead. Very dissatisfied.,refund_return_cancellation,0.95,"The customer reports a damaged product, incurred return shipping costs, and expresses dissatisfaction with the refund process, indicating a request for a refund or return. This aligns with the ""Returns, Refunds & Order Cancellation"" intent.",True,-0.8552
amazonhelp_gold_0037,amazonhelp,"@AmazonHelp Hi , not able to initiate return . On click on ""Return items"" button under ""Start a return"" , it takes me to orders page. There i can see my order but there is no option on initiate return",refund_return_cancellation,0.95,"The customer is unable to start a return process for an order, which directly relates to return and refund procedures.",False,-0.4215
amazonhelp_gold_0038,amazonhelp,"@115821 I returned an item to your location at College Park, MD, but you say you haven't received it. What should I do?",refund_return_cancellation,0.98,"The customer is discussing a returned item that the seller claims has not been received, which is a return issue. This falls squarely under the returns, refunds, and cancellations category.",False,0.0
amazonhelp_gold_0039,amazonhelp,@AmazonHelp It was https://t.co/1dWwEv9FhU my email is __email__ And the order number is [ORDER_ID] it's really annoying that I have to order same product 3 times and still it's undeliverable.,order_tracking_delivery,0.95,"The customer is complaining that their order is undeliverable and has had to reorder multiple times, indicating a delivery tracking issue. This falls under the order tracking and delivery status category.",False,-0.4005
amazonhelp_gold_0040,amazonhelp,"Thanks for doing such a ""careful"" job packing this for shipping, @115821. Love getting damaged packaging. :/ https://t.co/E8vMtseKL5",general_feedback_complaint,0.95,"The customer expresses dissatisfaction with damaged packaging, which is a general complaint about service quality rather than a request for a return, refund, or other specific action.",True,0.5267
amazonhelp_gold_0041,amazonhelp,@AmazonHelp Today. I ordered on Sunday https://t.co/T3gve74D1E,order_tracking_delivery,0.95,"The user mentions placing an order on Sunday and is likely seeking information about the status or delivery of that order, which falls under order tracking and delivery inquiries.",False,0.0
amazonhelp_gold_0042,amazonhelp,"Hi @145910 I have made a service purchase with @115850 India they haven't given me a invoice, and no details of GST paid is displayed",general_feedback_complaint,0.85,"The customer is complaining about missing invoice and GST details for a service purchase, which is a service dissatisfaction issue. This falls under general grievances and escalation rather than a specific category like Prime billing or returns.",True,-0.296
amazonhelp_gold_0043,amazonhelp,@AmazonHelp hi i appear to have paid for my gift card twice?,prime_subscription_billing,0.8,"The customer reports a duplicate payment for a gift card, which is a card charge issue. According to the rubric, card charge questions fall under the prime_subscription_billing intent. The query does not explicitly request a refund or return, so this intent is the most appropriate.",False,0.4404
amazonhelp_gold_0044,amazonhelp,"@AmazonHelp for you dealing with vendors and make him accept is not big deal, why do you keep the cap of 30 days",refund_return_cancellation,0.95,"The customer references a 30‑day cap, which is a common limitation on returns or refunds, indicating a request or complaint about return/refund policy. This aligns with the refund_return_cancellation intent.",False,0.3818
amazonhelp_gold_0045,amazonhelp,@AmazonHelp Send me the link,seller_product_inquiry,0.6,"The user requests a link, which most likely refers to a product or seller-related resource. No other intent categories match a simple link request, so the closest fit is seller_product_inquiry.",False,0.0
amazonhelp_gold_0046,amazonhelp,@115850 This has not been fulfilled. Now what is it that I can do. I purchased your service and didn't provide it to me. https://t.co/JjBojqXx59,general_feedback_complaint,0.92,"The customer states that a purchased service has not been fulfilled and expresses frustration, which aligns with a general grievance or complaint about service delivery. No specific request for a refund, return, or technical troubleshooting is mentioned, so the most appropriate category is a general feedback/complaint.",True,-0.3252
amazonhelp_gold_0047,amazonhelp,@AmazonHelp my account is locked and I haven’t received my email yet on how to unlock it. I’ve looked in my junk mail as well.,account_security_access,0.95,"The customer states their account is locked and they have not received an email to unlock it, indicating an issue with account access and security (OTP/email reset).",True,0.2732
amazonhelp_gold_0048,amazonhelp,@115821 3. If I have to go to mrkt for courier then why not to purchase from mrkt only? What is the fun of taking prime membership,prime_subscription_billing,0.95,"The customer is questioning the value and benefits of a Prime membership, which directly relates to Prime membership and billing inquiries.",False,0.5106
amazonhelp_gold_0049,amazonhelp,"@AmazonHelp Pickup Tracking ID:[ORDER_ID] - my return package was scheduled to be picked up yesterday, but i am yet to hear from the carrier team! Please expedite the process!!",refund_return_cancellation,0.95,"The customer is inquiring about a scheduled return pickup that has not yet occurred, which falls under return and refund processes.",False,0.5894
amazonhelp_gold_0050,amazonhelp,"@AmazonHelp I need your help! I created an account, then I bought something, now I don't remember the email I used. Help me!",account_security_access,0.95,"The user is asking for help to recover the email address used for their Amazon account, indicating an issue with account access and identity verification.",True,0.7896
amazonhelp_gold_0051,amazonhelp,"@115830, please fix your video player on the @248243! Ffwd & Rewind are shite! I can either skip through at a snails pace or half the movie in about 3 seconds. Shocking!",digital_services_devices,0.98,"The customer is complaining about playback issues (forward/rewind) with a video player, which falls under troubleshooting digital services such as Prime Video playback errors.",False,-0.3129
amazonhelp_gold_0052,amazonhelp,@127187...congratulations for making amazon india's fake and fraudlent company. am sending legal notice to you nd jeff shortly.,general_feedback_complaint,0.95,"The user is expressing a strong complaint about Amazon India, labeling it as fake and fraudulent, and threatening to send a legal notice. This falls under a general grievance or escalation scenario, matching the 'general_feedback_complaint' intent.",True,-0.2263
amazonhelp_gold_0053,amazonhelp,"@AmazonHelp Not usps or ups. ""Guy in an unmarked van who shows up whenever delivery service""",order_tracking_delivery,0.97,"The customer is describing an issue with the delivery service, specifically a delivery person in an unmarked van, indicating a concern about where the order is and how it is being delivered. This falls under delivery tracking and status inquiries.",False,0.0
amazonhelp_gold_0054,amazonhelp,@115850 I have escalated in the past but there's no outcome. What's the use of escalation if there is no action.,general_feedback_complaint,0.95,"The customer is expressing frustration about the lack of outcome from previous escalations, indicating a general service complaint rather than a specific issue with orders, returns, billing, account security, devices, or third‑party sellers.",True,-0.6808
amazonhelp_gold_0055,amazonhelp,@AmazonHelp Was Really excited about the Orzly tempered glass. Heard a lot about it 😞,seller_product_inquiry,0.72,"The user references a specific product (Orzly tempered glass) and expresses disappointment, indicating interest in the product’s quality or details. No request for return, refund, or account action is present, so the most appropriate category is a third‑party seller product inquiry.",False,-0.1045
amazonhelp_gold_0056,amazonhelp,@AmazonHelp No one responded to my question of why aadhar card needs to be linked with amazon account?,account_security_access,0.92,"The customer is asking about why an Aadhaar card needs to be linked to their Amazon account, which relates to account verification and security procedures. This falls under the account security and access category. No other intent matches this query.",True,-0.128
amazonhelp_gold_0057,amazonhelp,@AmazonHelp I have the email.,account_security_access,0.6,"The user references having an email, which suggests they may be trying to verify or access their account. This aligns with the account access and security intent.",True,0.0
amazonhelp_gold_0058,amazonhelp,@115850 @115821 I'm planning to buy @117634 for mom. Do you have Kannada books collections?,seller_product_inquiry,0.98,"The user is asking about the availability of Kannada books collections, which is a product availability question related to third‑party sellers or stock. This falls under the seller_product_inquiry intent.",False,0.0
amazonhelp_gold_0059,amazonhelp,@115850 So much irritate Situation Amazon Courier Agent Not delivered My prepaid order he mark it Refuse without attempt #[ORDER_ID],order_tracking_delivery,0.95,"The customer reports that the Amazon courier agent refused to deliver the prepaid order without attempting delivery, indicating a delivery status issue. This falls under the order tracking and delivery intent.",True,-0.5542
amazonhelp_gold_0060,amazonhelp,"@115821 it is ridiculously hard to close an amazon account. It’s almost like you don’t care about your customers, and you’re forcing them to stay. Honestly, that just makes me want to close it more.",general_feedback_complaint,0.92,"The user expresses frustration and dissatisfaction with the difficulty of closing an Amazon account, which is a general grievance about service quality. This aligns with the ""general_feedback_complaint"" category, as it involves a complaint about the customer experience rather than a specific functional request such as tracking, returns, or technical support.",True,0.7655
amazonhelp_gold_0061,amazonhelp,Just found out that my Halloween costume will be delivered on Friday the 13th 😯 @115830 how convenient of you,order_tracking_delivery,0.95,"The customer is inquiring about the delivery date of their order (Halloween costume) and expresses concern about the timing, which falls under delivery status inquiries.",False,0.0
amazonhelp_gold_0062,amazonhelp,@AmazonHelp Filled it out. Still heard nothing. Glad I PAY for this bull shit service.,general_feedback_complaint,0.95,"The customer expresses frustration and dissatisfaction with Amazon’s help service, indicating a general complaint rather than a specific request about orders, returns, billing, account security, digital devices, or third‑party sellers.",True,-0.6418
amazonhelp_gold_0063,amazonhelp,"@AmazonHelp you seriously need to sort out your delivery drivers, 3 horrific deliveries in 2 weeks, disgusting, it's not on.",general_feedback_complaint,0.95,"The customer is expressing strong dissatisfaction with delivery drivers and multiple late deliveries, which is a general grievance rather than a specific request for tracking, refund, or technical support.",True,-0.8591
amazonhelp_gold_0064,amazonhelp,@115850 hypocrisy?😢 #AmazonIndia https://t.co/vmYB0GIc7A,general_feedback_complaint,0.95,"The user expresses dissatisfaction or complaint about Amazon India, indicated by the hashtag and emoticon, without referencing a specific order, refund, account, device, or seller issue. This aligns with the general grievance category.",True,-0.4767
amazonhelp_gold_0065,amazonhelp,"I have received only 500 cashback instead of 1000 for buying Nokia 6 @115850, very bad experience",refund_return_cancellation,0.95,"The customer is complaining about receiving an incorrect cashback amount, which is a type of refund discrepancy. This falls under the refund/return category.",True,-0.5849
amazonhelp_gold_0066,amazonhelp,This isn't 1 day delivery @115830 mate https://t.co/mY1w7kJ47b,order_tracking_delivery,0.95,"The customer complains that the delivery is not 1‑day as expected, indicating a concern about the status or delay of their shipment.",False,0.0
amazonhelp_gold_0067,amazonhelp,@AmazonHelp I'm frustrated with amazon and iam angry,general_feedback_complaint,0.95,"The user expresses frustration and anger towards Amazon, indicating a general complaint or dissatisfaction with service. This aligns with the 'general_feedback_complaint' intent, which covers broad grievances and demands for escalation.",True,-0.7184
amazonhelp_gold_0068,amazonhelp,"@AmazonHelp It was a small misunderstanding! He was around the corner. Got it!!! Ya’ll are great, I love the maps service and also the fact that you tweeted me.",general_feedback_complaint,0.99,"The customer is expressing positive feedback and appreciation for Amazon’s services (maps and tweets). This falls under the general feedback category, which includes praise or general comments about service.",True,0.8257
amazonhelp_gold_0069,amazonhelp,"@AmazonHelp I’ve literally only once gotten a package on time. The rest have been lost or late, regardless of carrier. Amazon Logistics lost the one that was supposed to come today",order_tracking_delivery,0.95,"The customer reports a lost package that was expected to arrive today, indicating a delivery tracking issue. This falls under inquiries about late shipments, missing delivery packages, and carrier delays.",False,-0.4404
amazonhelp_gold_0070,amazonhelp,@115830 can you please help,general_feedback_complaint,0.4,"The query is a generic request for assistance with no specific context. None of the other intent categories (order tracking, refunds, Prime billing, account security, digital devices, seller inquiries) are explicitly referenced. The most appropriate fallback category for a general help request is the general feedback/complaint intent.",True,0.6124
amazonhelp_gold_0071,amazonhelp,"@AmazonHelp a parcel was supposed to arrive by the latest Saturday and it still hasn’t arrived, please help locate it as I’m waiting",order_tracking_delivery,0.99,"The customer is asking for help locating a parcel that was expected to arrive by a specific date and has not yet arrived, which directly relates to order tracking and delivery status.",False,0.6124
amazonhelp_gold_0072,amazonhelp,@115850 pls look into this asap https://t.co/2sGN1WBeDh,general_feedback_complaint,0.6,"The user is requesting urgent assistance with an unspecified issue linked via a URL. No specific keywords indicate an order tracking, refund, Prime billing, account security, device troubleshooting, or seller inquiry. The most appropriate category for a general request for help or complaint is `general_feedback_complaint`.",True,0.0772
amazonhelp_gold_0073,amazonhelp,So @115821 is 0 for 3 with deliveries yesterday and today. Brick and mortar purchasing looks better and better every day.,general_feedback_complaint,0.72,"The user comments on delivery performance and expresses a positive opinion about brick‑and‑mortar purchasing. This is a general feedback statement rather than a specific request for tracking, returns, billing, security, device support, or seller inquiry.",True,0.7003
amazonhelp_gold_0074,amazonhelp,@AmazonHelp Good news. The site is back and loads just fine now.,general_feedback_complaint,0.95,"The customer is expressing positive feedback about the site functioning properly, which aligns with the general feedback or praise category.",True,0.5719
amazonhelp_gold_0075,amazonhelp,@115830 I waited most of the day. Wasn't told I needed a signature but didn't want it left by the bin. Absolutely no idea where it is now! https://t.co/ZPAdxT9QGn,order_tracking_delivery,0.99,"The customer is asking about the location of a delivery that was not signed for and is missing, which falls under delivery status and tracking inquiries.",True,-0.5946
amazonhelp_gold_0076,amazonhelp,@AmazonHelp I did not receive that or a copy of my chat transcript,general_feedback_complaint,0.95,"The user is complaining about not receiving a chat transcript, which is a general service grievance rather than an order, return, billing, account, device, or seller issue. Thus it falls under the general_feedback_complaint category.",True,0.0
amazonhelp_gold_0077,amazonhelp,@AmazonHelp I tried connecting with your customer service team and courier service team as but didn't got any results. Its already three days as passed.,order_tracking_delivery,0.92,"The customer is expressing frustration about not receiving any response from customer service and the courier team after three days, indicating a concern about the status or delay of a delivery.",False,0.0
amazonhelp_gold_0078,amazonhelp,Anyone else feel like @115821 is slacking lately? I ordered a Santa pacifier and received fruit shaped teething toys instead and now for the 3rd time in the last few months one of our packages is marked delivered and it’s no where in sight? #ANNOYED,refund_return_cancellation,0.95,"The customer reports receiving incorrect items (fruit‑shaped teething toys instead of a Santa pacifier) and missing packages that are marked delivered. These issues are typical of return, refund, or cancellation requests for wrong or missing merchandise.",True,-0.5256
amazonhelp_gold_0079,amazonhelp,"@AmazonHelp @115850 please assist on above issue- have deleted and repurchased book again, but it hasn't been delivered to the Kindle.",digital_services_devices,0.95,"The user is reporting a problem with a Kindle e-book that was repurchased but not delivered to the device, which is a digital content delivery issue.",True,0.1655
amazonhelp_gold_0080,amazonhelp,Ordered the new OnePlus 5T from Amazon with guaranteed next day delivery. Received this because Amazon has grown ears and think they an take their customers for a swing..! Order No. [ORDER_ID] @115821 @132994 @139570 @AmazonHelp @115850 @118919 https://t.co/gPr662o3UR,refund_return_cancellation,0.92,"The customer complains about receiving an incorrect item after ordering a OnePlus 5T with guaranteed next‑day delivery. This falls under the category of returns, refunds, or order cancellations for a wrong or unsatisfactory product.",False,0.4003
amazonhelp_gold_0081,amazonhelp,@115850 long wait and tht 2 for a wrng prodct.ordered strip lights 4 Diwali but recvid sum dummy toys in place.sav my Diwali from ruining https://t.co/WbWMj4k220,refund_return_cancellation,0.95,"The customer reports receiving the wrong product (dummy toys instead of strip lights) and expresses frustration, indicating a desire to return the item or get a refund.",False,-0.3612
amazonhelp_gold_0082,amazonhelp,So that’s the 2nd item in 2 days that has been sent out without packing. This time a printer with a hole in the box and corners crushed. What if it had been for a present?? Piss poor @115830 . Yet I get warnings about packaging stuff up properly if I need to return it 🙄.,refund_return_cancellation,0.95,"The customer reports receiving a damaged printer (hole in box, crushed corners) and expresses frustration about packaging. They mention needing to return the item and are concerned about packaging for the return. This clearly falls under the category of returns, refunds, and order cancellation for damaged goods.",True,-0.8796
amazonhelp_gold_0083,amazonhelp,@118919 Hello my cashback in lost big billions sale was not revived yet. I made 7000 inr purchase,refund_return_cancellation,0.92,"The customer is complaining that a cashback (a form of refund or credit) has not been credited after a purchase, which falls under the refund/return category.",False,-0.3182
amazonhelp_gold_0084,amazonhelp,@AmazonHelp Faulty tv returned and received by you 15/11. 4 times. Verbal chat and 2 emails you have told me you will process a refund still awaiting and my account for item still says pending return of item. My last email to you was today.,refund_return_cancellation,0.95,"The customer is following up on a returned faulty TV, requesting a refund that has not yet been processed and noting that the account still shows a pending return. This clearly falls under the returns, refunds, and cancellations category.",False,-0.3182
amazonhelp_gold_0085,amazonhelp,@AmazonHelp Please resend survey to me. Deng rang finally after i complained on here but she got cut off. She cant even make a phone call,general_feedback_complaint,0.95,"The user is requesting a resend of a survey and expresses frustration about a phone call being cut off. This falls under general service dissatisfaction and feedback, not related to orders, returns, Prime billing, account security, digital devices, or third‑party seller issues.",True,-0.431
amazonhelp_gold_0086,amazonhelp,$15 for shipping on a 16lb bag of cat food is robbery! Can I transfer my gift card balance back to my debit card? @115821 @AmazonHelp,general_feedback_complaint,0.92,"The user expresses strong dissatisfaction with the shipping cost and asks about transferring a gift card balance, indicating a general complaint about service and billing practices rather than a specific request for a return, refund, or account access. This aligns with the general feedback/complaint category.",True,0.4926
amazonhelp_gold_0087,amazonhelp,😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭 JVIEN D’ACHETER UN COQUE À MA SŒUR !!! JE COMPREND PAS @120533 https://t.co/AETGaSLAlf,seller_product_inquiry,0.92,"The user is expressing a desire to purchase a case for their sister and indicates confusion about the process. This falls under inquiries about product availability, purchasing, or third‑party seller details, which aligns with the seller_product_inquiry intent.",True,-0.995
amazonhelp_gold_0088,amazonhelp,@115850 unable to subscribe prime with amazon pay. Please help. 📱[ORDER_ID],prime_subscription_billing,0.95,"The customer is attempting to subscribe to Amazon Prime and is encountering a payment issue using Amazon Pay, which falls under Prime membership and billing inquiries.",False,0.6486
amazonhelp_gold_0089,amazonhelp,@AmazonHelp I can't see the carrier. It was supposed to be delivered yesterday. Didn't get delivered yesterday or today even though they were in my area,order_tracking_delivery,0.95,"The customer is asking about a missing delivery that was expected yesterday and today, indicating a delivery status or tracking issue.",False,0.0
amazonhelp_gold_0090,amazonhelp,"@AmazonHelp It says 'no orders or transactions found'. I'm really concerned. I pre-ordered the book montha ago, back in august.",order_tracking_delivery,0.95,"The customer reports that the system shows 'no orders or transactions found' despite having pre-ordered a book in August, indicating a concern about the status or visibility of an order. This falls under inquiries about order tracking and delivery status.",False,0.0
amazonhelp_gold_0091,amazonhelp,@AmazonHelp Yes it has and my sister emailed whoever to see if they can deliver to my new address as i made a mistake i guess & selected old address..😞,order_tracking_delivery,0.85,"The customer is asking about changing the delivery address for an order, which falls under delivery-related inquiries. The closest matching intent is order_tracking_delivery, as it covers issues related to order delivery and location.",False,-0.4215
