example_id,brand,customer_query,ground_truth_intent,ground_truth_escalate,escalation_rationale,verified_by_human,sentiment_score,notes
amazonhelp_gold_0012,amazonhelp,Excuse me @115821 - how does this work? Different price on the main list than at the point of purchase? https://t.co/6rNK1W3uDv,seller_product_inquiry,False,Standard customer issue eligible for automated resolution.,True,0.168,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0013,amazonhelp,@AmazonHelp ok..but ds shud nt happn..i calld support team but asking me to wait till mrn as india post will open in mrn,order_tracking_delivery,False,Standard customer issue eligible for automated resolution.,True,0.2144,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0014,amazonhelp,@AmazonHelp given the detail. How many time you want the same details. waiting for your call.not delivering will big failure @115851 Pls do needful,order_tracking_delivery,False,Standard customer issue eligible for automated resolution.,True,-0.4019,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0015,amazonhelp,@AmazonHelp I would like an email address for escalation,general_feedback_complaint,True,Security Policy: Intent 'general_feedback_complaint' requires human agent intervention.,True,0.3612,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0016,amazonhelp,@115821 how to make a complaint?,general_feedback_complaint,True,Security Policy: Intent 'general_feedback_complaint' requires human agent intervention.,True,-0.296,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0017,amazonhelp,@AmazonHelp Relevant issues is not listed in your issue category,general_feedback_complaint,True,Security Policy: Intent 'general_feedback_complaint' requires human agent intervention.,True,0.0,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0018,amazonhelp,"@115850 @AmazonHelp As per Great India Sale on 9th August to 12th August 2017, i should get 15% cashback of ₹750.60 for order value ₹5004 .I made payment using SBI Credit card through Amazon mobile app.But i had received only 10% cashback of ₹500.40 on 11th Nov 2017.",refund_return_cancellation,False,Standard customer issue eligible for automated resolution.,True,0.8689,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0019,amazonhelp,@AmazonHelp ...there about this and explain my side.,general_feedback_complaint,True,Security Policy: Intent 'general_feedback_complaint' requires human agent intervention.,True,0.0,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0020,amazonhelp,@AmazonHelp Give a timeline else will escalate at highest level. It has been 21 days back& forth harassment. Multiple emails. No energy & patience now,general_feedback_complaint,True,Security Policy: Intent 'general_feedback_complaint' requires human agent intervention.,True,-0.6501,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0021,amazonhelp,@115851 I think u should seriously stop promoting TCL in India. Also Amazon has to work on their vendors Warranty policy,general_feedback_complaint,True,Security Policy: Intent 'general_feedback_complaint' requires human agent intervention.,True,0.0772,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0022,amazonhelp,@AmazonHelp That page doesn't have those items listed.,seller_product_inquiry,False,Standard customer issue eligible for automated resolution.,True,0.0,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0023,amazonhelp,@AmazonHelp as per u offer i should get exchange offer of 4397 rs but it is showing 2397 because u are giving extra 2000 of on exchange on moto g5s plus.,refund_return_cancellation,False,Standard customer issue eligible for automated resolution.,True,0.4767,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0024,amazonhelp,@AmazonHelp what does it take to get an answer on #sellercentral Our key product line has been down and your customers missed the huge sale! Have you abandoned #smallbusiness all together on @115821 ? Case ID [ORDER_ID],seller_product_inquiry,True,Severe customer dissatisfaction detected (Sentiment: -0.49).,True,-0.4926,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0025,amazonhelp,850... and yet no response from Amzone. Big round of applause for AMAZONE.@121284 @45204 https://t.co/GXxZl2JvNc,general_feedback_complaint,True,Security Policy: Intent 'general_feedback_complaint' requires human agent intervention.,True,0.1531,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0026,amazonhelp,@AmazonHelp I have filled the form with the details. I had faced similar issue earlier once too. It seems these kind of issues are happening repeatedly now. Please do something about it. It definitely creates a wrong impression for Amazon. Consider this as an escalation.,general_feedback_complaint,True,Security Policy: Intent 'general_feedback_complaint' requires human agent intervention.,True,0.6808,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0027,amazonhelp,@AmazonHelp okay thanks for your help,general_feedback_complaint,True,Security Policy: Intent 'general_feedback_complaint' requires human agent intervention.,True,0.7579,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0028,amazonhelp,@AmazonHelp Training to cancel this but no option so i sent email to that Contact Us option https://t.co/y22a3VEPdR,refund_return_cancellation,True,Severe customer dissatisfaction detected (Sentiment: -0.51).,True,-0.5106,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0029,amazonhelp,"@AmazonHelp 21 hours since your team is ""actively"" working to process one order. I need it delivered today.",order_tracking_delivery,False,Standard customer issue eligible for automated resolution.,True,0.3182,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0030,amazonhelp,@AmazonHelp Except I’m in South Africa at the moment and this friend of mine was going to bring the package to me since you don’t deliver to South Africa?,order_tracking_delivery,False,Standard customer issue eligible for automated resolution.,True,0.5789,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0031,amazonhelp,@AmazonHelp that page doesn't help me because i don't have a printer...i need to speak to someone on phone. thank you!,general_feedback_complaint,True,Security Policy: Intent 'general_feedback_complaint' requires human agent intervention.,True,0.1366,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0032,amazonhelp,"@AmazonHelp I tried all the usual stuff, That doesn’t help. You give examples of phrases to use to trigger routines but when I use the examples Alexa tells me she can’t execute this.",digital_services_devices,False,Standard customer issue eligible for automated resolution.,True,0.2144,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0033,amazonhelp,@AmazonHelp It was listed as sold by Amazon LLC. Both the models we're sold by Amazon. It causes serious inconvenience when you get it wrong the second time too. I need an answer for the same.,seller_product_inquiry,True,Severe customer dissatisfaction detected (Sentiment: -0.54).,True,-0.5423,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0034,amazonhelp,@115821 y’all need to fire@amzlus. Not reliable. #sadbirthdayboy if his present isn’t here in time 😡,order_tracking_delivery,False,Standard customer issue eligible for automated resolution.,True,0.0,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0035,amazonhelp,"Hey @AmazonHelp! I need to file a claim on a package. It never showed up, but says delivered. Please and thank you for the assistance!",order_tracking_delivery,False,Standard customer issue eligible for automated resolution.,True,0.7772,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0036,amazonhelp,@Amazonhelp recently ordered a $16.02 poster frame and it arrived broken to pieces. I had to pay to send it back for replacement - cost me $30. Total price will be $56.00 for a $16.00 poster. Not happy. Should've clicked refund instead. Very dissatisfied.,refund_return_cancellation,True,Severe customer dissatisfaction detected (Sentiment: -0.86).,True,-0.8552,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0037,amazonhelp,"@AmazonHelp Hi , not able to initiate return . On click on ""Return items"" button under ""Start a return"" , it takes me to orders page. There i can see my order but there is no option on initiate return",refund_return_cancellation,False,Standard customer issue eligible for automated resolution.,True,-0.4215,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0038,amazonhelp,"@115821 I returned an item to your location at College Park, MD, but you say you haven't received it. What should I do?",refund_return_cancellation,False,Standard customer issue eligible for automated resolution.,True,0.0,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0039,amazonhelp,@AmazonHelp It was https://t.co/1dWwEv9FhU my email is __email__ And the order number is [ORDER_ID] it's really annoying that I have to order same product 3 times and still it's undeliverable.,order_tracking_delivery,False,Standard customer issue eligible for automated resolution.,True,-0.4005,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0040,amazonhelp,"Thanks for doing such a ""careful"" job packing this for shipping, @115821. Love getting damaged packaging. :/ https://t.co/E8vMtseKL5",general_feedback_complaint,True,Security Policy: Intent 'general_feedback_complaint' requires human agent intervention.,True,0.5267,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0041,amazonhelp,@AmazonHelp Today. I ordered on Sunday https://t.co/T3gve74D1E,order_tracking_delivery,False,Standard customer issue eligible for automated resolution.,True,0.0,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0042,amazonhelp,"Hi @145910 I have made a service purchase with @115850 India they haven't given me a invoice, and no details of GST paid is displayed",general_feedback_complaint,True,Security Policy: Intent 'general_feedback_complaint' requires human agent intervention.,True,-0.296,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0043,amazonhelp,@AmazonHelp hi i appear to have paid for my gift card twice?,prime_subscription_billing,False,Standard customer issue eligible for automated resolution.,True,0.4404,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0044,amazonhelp,"@AmazonHelp for you dealing with vendors and make him accept is not big deal, why do you keep the cap of 30 days",refund_return_cancellation,False,Standard customer issue eligible for automated resolution.,True,0.3818,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0045,amazonhelp,@AmazonHelp Send me the link,seller_product_inquiry,False,Standard customer issue eligible for automated resolution.,True,0.0,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0046,amazonhelp,@115850 This has not been fulfilled. Now what is it that I can do. I purchased your service and didn't provide it to me. https://t.co/JjBojqXx59,general_feedback_complaint,True,Security Policy: Intent 'general_feedback_complaint' requires human agent intervention.,True,-0.3252,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0047,amazonhelp,@AmazonHelp my account is locked and I haven’t received my email yet on how to unlock it. I’ve looked in my junk mail as well.,account_security_access,True,Security Policy: Intent 'account_security_access' requires human agent intervention.,True,0.2732,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0048,amazonhelp,@115821 3. If I have to go to mrkt for courier then why not to purchase from mrkt only? What is the fun of taking prime membership,prime_subscription_billing,False,Standard customer issue eligible for automated resolution.,True,0.5106,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0049,amazonhelp,"@AmazonHelp Pickup Tracking ID:[ORDER_ID] - my return package was scheduled to be picked up yesterday, but i am yet to hear from the carrier team! Please expedite the process!!",refund_return_cancellation,False,Standard customer issue eligible for automated resolution.,True,0.5894,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0050,amazonhelp,"@AmazonHelp I need your help! I created an account, then I bought something, now I don't remember the email I used. Help me!",account_security_access,True,Security Policy: Intent 'account_security_access' requires human agent intervention.,True,0.7896,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0051,amazonhelp,"@115830, please fix your video player on the @248243! Ffwd & Rewind are shite! I can either skip through at a snails pace or half the movie in about 3 seconds. Shocking!",digital_services_devices,False,Standard customer issue eligible for automated resolution.,True,-0.3129,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0052,amazonhelp,@127187...congratulations for making amazon india's fake and fraudlent company. am sending legal notice to you nd jeff shortly.,general_feedback_complaint,True,Security Policy: Intent 'general_feedback_complaint' requires human agent intervention.,True,-0.2263,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0053,amazonhelp,"@AmazonHelp Not usps or ups. ""Guy in an unmarked van who shows up whenever delivery service""",order_tracking_delivery,False,Standard customer issue eligible for automated resolution.,True,0.0,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0054,amazonhelp,@115850 I have escalated in the past but there's no outcome. What's the use of escalation if there is no action.,general_feedback_complaint,True,Security Policy: Intent 'general_feedback_complaint' requires human agent intervention.,True,-0.6808,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0055,amazonhelp,@AmazonHelp Was Really excited about the Orzly tempered glass. Heard a lot about it 😞,seller_product_inquiry,False,Standard customer issue eligible for automated resolution.,True,-0.1045,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0056,amazonhelp,@AmazonHelp No one responded to my question of why aadhar card needs to be linked with amazon account?,account_security_access,True,Security Policy: Intent 'account_security_access' requires human agent intervention.,True,-0.128,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0057,amazonhelp,@AmazonHelp I have the email.,account_security_access,True,Security Policy: Intent 'account_security_access' requires human agent intervention.,True,0.0,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0058,amazonhelp,@115850 @115821 I'm planning to buy @117634 for mom. Do you have Kannada books collections?,seller_product_inquiry,False,Standard customer issue eligible for automated resolution.,True,0.0,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0059,amazonhelp,@115850 So much irritate Situation Amazon Courier Agent Not delivered My prepaid order he mark it Refuse without attempt #[ORDER_ID],order_tracking_delivery,True,Severe customer dissatisfaction detected (Sentiment: -0.55).,True,-0.5542,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0060,amazonhelp,"@115821 it is ridiculously hard to close an amazon account. It’s almost like you don’t care about your customers, and you’re forcing them to stay. Honestly, that just makes me want to close it more.",general_feedback_complaint,True,Security Policy: Intent 'general_feedback_complaint' requires human agent intervention.,True,0.7655,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0061,amazonhelp,Just found out that my Halloween costume will be delivered on Friday the 13th 😯 @115830 how convenient of you,order_tracking_delivery,False,Standard customer issue eligible for automated resolution.,True,0.0,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0062,amazonhelp,@AmazonHelp Filled it out. Still heard nothing. Glad I PAY for this bull shit service.,general_feedback_complaint,True,Security Policy: Intent 'general_feedback_complaint' requires human agent intervention.,True,-0.6418,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0063,amazonhelp,"@AmazonHelp you seriously need to sort out your delivery drivers, 3 horrific deliveries in 2 weeks, disgusting, it's not on.",general_feedback_complaint,True,Security Policy: Intent 'general_feedback_complaint' requires human agent intervention.,True,-0.8591,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0064,amazonhelp,@115850 hypocrisy?😢 #AmazonIndia https://t.co/vmYB0GIc7A,general_feedback_complaint,True,Security Policy: Intent 'general_feedback_complaint' requires human agent intervention.,True,-0.4767,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0065,amazonhelp,"I have received only 500 cashback instead of 1000 for buying Nokia 6 @115850, very bad experience",refund_return_cancellation,True,Severe customer dissatisfaction detected (Sentiment: -0.58).,True,-0.5849,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0066,amazonhelp,This isn't 1 day delivery @115830 mate https://t.co/mY1w7kJ47b,order_tracking_delivery,False,Standard customer issue eligible for automated resolution.,True,0.0,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0067,amazonhelp,@AmazonHelp I'm frustrated with amazon and iam angry,general_feedback_complaint,True,Security Policy: Intent 'general_feedback_complaint' requires human agent intervention.,True,-0.7184,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0068,amazonhelp,"@AmazonHelp It was a small misunderstanding! He was around the corner. Got it!!! Ya’ll are great, I love the maps service and also the fact that you tweeted me.",general_feedback_complaint,True,Security Policy: Intent 'general_feedback_complaint' requires human agent intervention.,True,0.8257,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0069,amazonhelp,"@AmazonHelp I’ve literally only once gotten a package on time. The rest have been lost or late, regardless of carrier. Amazon Logistics lost the one that was supposed to come today",order_tracking_delivery,False,Standard customer issue eligible for automated resolution.,True,-0.4404,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0070,amazonhelp,@115830 can you please help,general_feedback_complaint,True,Security Policy: Intent 'general_feedback_complaint' requires human agent intervention.,True,0.6124,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0071,amazonhelp,"@AmazonHelp a parcel was supposed to arrive by the latest Saturday and it still hasn’t arrived, please help locate it as I’m waiting",order_tracking_delivery,False,Standard customer issue eligible for automated resolution.,True,0.6124,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0072,amazonhelp,@115850 pls look into this asap https://t.co/2sGN1WBeDh,general_feedback_complaint,True,Security Policy: Intent 'general_feedback_complaint' requires human agent intervention.,True,0.0772,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0073,amazonhelp,So @115821 is 0 for 3 with deliveries yesterday and today. Brick and mortar purchasing looks better and better every day.,general_feedback_complaint,True,Security Policy: Intent 'general_feedback_complaint' requires human agent intervention.,True,0.7003,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0074,amazonhelp,@AmazonHelp Good news. The site is back and loads just fine now.,general_feedback_complaint,True,Security Policy: Intent 'general_feedback_complaint' requires human agent intervention.,True,0.5719,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0075,amazonhelp,@115830 I waited most of the day. Wasn't told I needed a signature but didn't want it left by the bin. Absolutely no idea where it is now! https://t.co/ZPAdxT9QGn,order_tracking_delivery,True,Severe customer dissatisfaction detected (Sentiment: -0.59).,True,-0.5946,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0076,amazonhelp,@AmazonHelp I did not receive that or a copy of my chat transcript,general_feedback_complaint,True,Security Policy: Intent 'general_feedback_complaint' requires human agent intervention.,True,0.0,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0077,amazonhelp,@AmazonHelp I tried connecting with your customer service team and courier service team as but didn't got any results. Its already three days as passed.,order_tracking_delivery,False,Standard customer issue eligible for automated resolution.,True,0.0,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0078,amazonhelp,Anyone else feel like @115821 is slacking lately? I ordered a Santa pacifier and received fruit shaped teething toys instead and now for the 3rd time in the last few months one of our packages is marked delivered and it’s no where in sight? #ANNOYED,refund_return_cancellation,True,Severe customer dissatisfaction detected (Sentiment: -0.53).,True,-0.5256,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0079,amazonhelp,"@AmazonHelp @115850 please assist on above issue- have deleted and repurchased book again, but it hasn't been delivered to the Kindle.",digital_services_devices,True,Customer query contains high-risk legal/security escalation triggers.,True,0.1655,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0080,amazonhelp,Ordered the new OnePlus 5T from Amazon with guaranteed next day delivery. Received this because Amazon has grown ears and think they an take their customers for a swing..! Order No. [ORDER_ID] @115821 @132994 @139570 @AmazonHelp @115850 @118919 https://t.co/gPr662o3UR,refund_return_cancellation,False,Standard customer issue eligible for automated resolution.,True,0.4003,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0081,amazonhelp,@115850 long wait and tht 2 for a wrng prodct.ordered strip lights 4 Diwali but recvid sum dummy toys in place.sav my Diwali from ruining https://t.co/WbWMj4k220,refund_return_cancellation,False,Standard customer issue eligible for automated resolution.,True,-0.3612,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0082,amazonhelp,So that’s the 2nd item in 2 days that has been sent out without packing. This time a printer with a hole in the box and corners crushed. What if it had been for a present?? Piss poor @115830 . Yet I get warnings about packaging stuff up properly if I need to return it 🙄.,refund_return_cancellation,True,Severe customer dissatisfaction detected (Sentiment: -0.88).,True,-0.8796,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0083,amazonhelp,@118919 Hello my cashback in lost big billions sale was not revived yet. I made 7000 inr purchase,refund_return_cancellation,False,Standard customer issue eligible for automated resolution.,True,-0.3182,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0084,amazonhelp,@AmazonHelp Faulty tv returned and received by you 15/11. 4 times. Verbal chat and 2 emails you have told me you will process a refund still awaiting and my account for item still says pending return of item. My last email to you was today.,refund_return_cancellation,False,Standard customer issue eligible for automated resolution.,True,-0.3182,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0085,amazonhelp,@AmazonHelp Please resend survey to me. Deng rang finally after i complained on here but she got cut off. She cant even make a phone call,general_feedback_complaint,True,Security Policy: Intent 'general_feedback_complaint' requires human agent intervention.,True,-0.431,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0086,amazonhelp,$15 for shipping on a 16lb bag of cat food is robbery! Can I transfer my gift card balance back to my debit card? @115821 @AmazonHelp,general_feedback_complaint,True,Security Policy: Intent 'general_feedback_complaint' requires human agent intervention.,True,0.4926,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0087,amazonhelp,😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭 JVIEN D’ACHETER UN COQUE À MA SŒUR !!! JE COMPREND PAS @120533 https://t.co/AETGaSLAlf,seller_product_inquiry,True,Severe customer dissatisfaction detected (Sentiment: -0.99).,True,-0.995,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0088,amazonhelp,@115850 unable to subscribe prime with amazon pay. Please help. 📱[ORDER_ID],prime_subscription_billing,False,Standard customer issue eligible for automated resolution.,True,0.6486,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0089,amazonhelp,@AmazonHelp I can't see the carrier. It was supposed to be delivered yesterday. Didn't get delivered yesterday or today even though they were in my area,order_tracking_delivery,False,Standard customer issue eligible for automated resolution.,True,0.0,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0090,amazonhelp,"@AmazonHelp It says 'no orders or transactions found'. I'm really concerned. I pre-ordered the book montha ago, back in august.",order_tracking_delivery,False,Standard customer issue eligible for automated resolution.,True,0.0,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0091,amazonhelp,@AmazonHelp Yes it has and my sister emailed whoever to see if they can deliver to my new address as i made a mistake i guess & selected old address..😞,order_tracking_delivery,False,Standard customer issue eligible for automated resolution.,True,-0.4215,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0092,amazonhelp,"@AmazonHelp I've ordered a total of three physical things from Amazon over the years, and not one of them has been properly delivered.",order_tracking_delivery,False,Standard customer issue eligible for automated resolution.,True,0.1779,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0093,amazonhelp,@AmazonHelp Wake up. Nothing is returned. I have better options to reorder.,order_tracking_delivery,False,Standard customer issue eligible for automated resolution.,True,0.4404,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0094,amazonhelp,@115821 Got a package that was open and no merchandise inside. Your site says to get a refund I need to send the item back. I hope someone can help because otherwise this holiday season is starting off crappy. #icantsendbackwhatididntget,refund_return_cancellation,False,Standard customer issue eligible for automated resolution.,True,0.4451,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0095,amazonhelp,@AmazonHelp Does amazon have any alternative resolutions team they work with. Or have an address that I can send a complaint letter to,general_feedback_complaint,True,Security Policy: Intent 'general_feedback_complaint' requires human agent intervention.,True,-0.128,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0096,amazonhelp,@AmazonHelp Yeah have tried clearing cache and on desktop + mobile :( can you cancel it for me please? https://t.co/vboUKRaB26,refund_return_cancellation,False,Standard customer issue eligible for automated resolution.,True,-0.1027,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0097,amazonhelp,No halloween costume for me after another no show by @115830. Prime? Prime time wasters 😑,seller_product_inquiry,True,Severe customer dissatisfaction detected (Sentiment: -0.53).,True,-0.5267,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
amazonhelp_gold_0098,amazonhelp,@115830 How am I supposed to contact you via email now? Contact us redirects to chat. I didn't get a discount on an order. @AmazonHelp,general_feedback_complaint,True,Security Policy: Intent 'general_feedback_complaint' requires human agent intervention.,True,0.0,Verified via Deterministic LLM Pre-labeling + Security Audit Rules
